"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"521606932","","","","","2007-12-21 16:30:32 +0000","<a href=""http://twitterhelp.blogspot.com/2008/05/twitter-via-mobile-web-mtwittercom.html"" rel=""nofollow"">mobile web</a>","sfo to sea"
"520400882","","","","","2007-12-21 07:57:49 +0000","web","when i die, my headstone will read ""the details killed her"""
"520399822","","","","","2007-12-21 07:57:12 +0000","web","procrastinating."
"513506752","","","","","2007-12-19 07:24:57 +0000","web","contemplating bailey's on ice. the commercial made it look festive!"
"511972742","","","","","2007-12-18 19:54:59 +0000","web","only 3 more days to make it through until vacation. seriously grumpy today."
"511648922","","","","","2007-12-18 17:48:30 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Wish i had coffee first"
"511641562","","","","","2007-12-18 17:45:37 +0000","<a href=""http://twitterhelp.blogspot.com/2008/05/twitter-via-mobile-web-mtwittercom.html"" rel=""nofollow"">mobile web</a>","at dmv...wish i had my laptop"
"508487682","","","","","2007-12-17 19:08:11 +0000","<a href=""http://echofon.com/"" rel=""nofollow"">Echofon</a>","one of the guys on my team just told me i look awful- i was feeling pretty good before that"
"505395702","","","","","2007-12-16 07:51:16 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Omg screaming rollergirls"
"504754602","","","","","2007-12-16 00:58:11 +0000","web","need a date for derby prom tonight, i guess"
"504069722","","","","","2007-12-15 18:21:53 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Epic night, have to do it again tonight for derby prom"
"504056052","","","","","2007-12-15 18:14:34 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Liquid hangover brunch"
"502043632","","","","","2007-12-14 23:02:10 +0000","<a href=""http://echofon.com/"" rel=""nofollow"">Echofon</a>","wishing i could take 12 hour downtimes...on purpose"
"499561642","","","","","2007-12-14 05:45:29 +0000","web","so glad for the hot tub tonight"
"499527992","","","","","2007-12-14 05:28:42 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Can't feel my toes"
"498978212","","","","","2007-12-14 01:24:06 +0000","<a href=""http://echofon.com/"" rel=""nofollow"">Echofon</a>","stealing Ben Folds from @sarahsosiak ... memories"
"498875672","","","","","2007-12-14 00:41:17 +0000","<a href=""http://echofon.com/"" rel=""nofollow"">Echofon</a>","learning about Shotski http://flickr.com/photos/nikoel/1971814940/"
"498638712","498614162","7591562","","","2007-12-13 23:02:20 +0000","<a href=""http://echofon.com/"" rel=""nofollow"">Echofon</a>","@tiffchow: is that a mailman list or...?"
"498393122","","","","","2007-12-13 21:22:59 +0000","<a href=""http://echofon.com/"" rel=""nofollow"">Echofon</a>","NY Post headline ""Ike 'beats' Tina to death"" http://tinyurl.com/2a4b5d"
"495569162","","","","","2007-12-13 01:43:07 +0000","<a href=""http://echofon.com/"" rel=""nofollow"">Echofon</a>","putting Hostess Snack Cakes in the snack drawer at work is so unfair!"
"491768322","","","","","2007-12-11 23:42:11 +0000","web","really really really ready for that glass of wine now"
